teste	kernel	perc	cross	tp	fp	tn	tn	Acc	S	Sp	nSv	C	G
LBP_256bins.txt_run_1	2	80	79.22077922077922	105.0	15.0	91.0	20.0	84.84848484848484	84.0	85.84905660377359	506	1024.0	16.0
LBP_256bins.txt_run_2	2	80	79.97835497835497	94.0	22.0	91.0	24.0	80.08658008658008	79.66101694915254	80.53097345132744	461	1024.0	64.0
LBP_256bins.txt_run_3	2	80	79.97835497835497	109.0	8.0	88.0	26.0	85.28138528138528	80.74074074074075	91.66666666666666	521	256.0	64.0
LBP_256bins.txt_run_4	2	80	80.95238095238095	102.0	33.0	75.0	21.0	76.62337662337663	82.92682926829268	69.44444444444444	494	4096.0	4.0
LBP_256bins.txt_run_5	2	80	80.95238095238095	84.0	23.0	101.0	23.0	80.08658008658008	78.50467289719626	81.45161290322581	486	1024.0	16.0
LBP_256bins.txt_run_6	2	80	80.62770562770562	97.0	20.0	90.0	24.0	80.95238095238095	80.16528925619835	81.81818181818183	506	1024.0	16.0
LBP_256bins.txt_run_7	2	80	79.76190476190476	100.0	23.0	81.0	27.0	78.35497835497836	78.74015748031496	77.88461538461539	489	1024.0	16.0
LBP_256bins.txt_run_8	2	80	79.97835497835497	101.0	19.0	86.0	25.0	80.95238095238095	80.15873015873017	81.9047619047619	506	256.0	64.0
LBP_256bins.txt_run_9	2	80	80.84415584415585	89.0	22.0	90.0	30.0	77.48917748917748	74.78991596638656	80.35714285714286	446	4096.0	16.0
LBP_256bins.txt_run_10	2	80	81.6017316017316	94.0	25.0	83.0	29.0	76.62337662337663	76.42276422764228	76.85185185185185	505	256.0	64.0
teste	kernel	perc	cross	tp	fp	tn	tn	Acc	S	Sp	nSv	C	G
LBP_256bins.txt_run_1	2	80	79.97835497835497	103.0	31.0	81.0	16.0	79.65367965367966	86.5546218487395	72.32142857142857	503	4096.0	4.0
LBP_256bins.txt_run_2	2	80	80.62770562770562	110.0	17.0	76.0	28.0	80.51948051948052	79.71014492753623	81.72043010752688	502	4096.0	4.0
LBP_256bins.txt_run_3	2	80	79.54545454545455	108.0	19.0	89.0	15.0	85.28138528138528	87.8048780487805	82.4074074074074	499	1024.0	16.0
LBP_256bins.txt_run_4	2	80	81.70995670995671	111.0	25.0	73.0	22.0	79.65367965367966	83.45864661654136	74.48979591836735	494	1024.0	16.0
LBP_256bins.txt_run_5	2	80	78.13852813852814	113.0	17.0	79.0	22.0	83.11688311688312	83.7037037037037	82.29166666666666	508	256.0	64.0
LBP_256bins.txt_run_6	2	80	81.06060606060606	96.0	25.0	88.0	22.0	79.65367965367966	81.35593220338984	77.87610619469027	492	1024.0	16.0
LBP_256bins.txt_run_7	2	80	79.97835497835497	101.0	11.0	97.0	22.0	85.71428571428571	82.11382113821138	89.81481481481481	499	1024.0	16.0
LBP_256bins.txt_run_8	2	80	81.06060606060606	101.0	28.0	80.0	22.0	78.35497835497836	82.11382113821138	74.07407407407408	438	4096.0	16.0
LBP_256bins.txt_run_9	2	80	79.22077922077922	81.0	19.0	98.0	33.0	77.48917748917748	71.05263157894737	83.76068376068376	497	256.0	64.0
LBP_256bins.txt_run_10	2	80	78.67965367965368	109.0	15.0	86.0	21.0	84.4155844155844	83.84615384615385	85.14851485148515	517	256.0	64.0
